PC1,PC2,Activity
-16.1385437069805,2.1520240109519024,STANDING
-15.296194299270987,1.387143784870371,STANDING
-15.137018611287953,2.4733509389041286,STANDING
-15.35088376231929,3.9156807264601716,STANDING
-15.544813514578857,4.598736780566739,STANDING
-15.359102209183192,4.725042511732499,STANDING
-14.9006278821647,3.1570198018475937,STANDING
-15.228727919837402,2.0804835894850777,STANDING
-15.500733590521454,3.22771892704743,STANDING
-14.098565818549424,2.5385354605016794,STANDING
-14.325790922665112,3.2540409301745745,STANDING
-16.142757985561335,7.424385790109928,STANDING
-16.043576771997984,6.990437276239158,STANDING
-15.987295482319803,8.297038530403226,STANDING
-12.368139568739759,-6.380008193902687,STANDING
-15.156826238987838,-0.7275515695528106,STANDING
-15.469739892176927,1.19009374300184,STANDING
-15.396591595958053,3.0077234140602163,STANDING
-15.418724069535727,5.7578524190158635,STANDING
-15.965308577892719,6.200549883979579,STANDING
-16.204882167929593,9.430222998916882,STANDING
-16.539298728413197,10.740034210787629,STANDING
-15.974249424246356,8.687898230942048,STANDING
-16.05432680410116,8.079362207323642,STANDING
-15.940590178911844,7.679605275721944,STANDING
-15.937002239989532,7.829708766281674,STANDING
-16.33492582229887,9.814354732897375,STANDING
-7.009198054799368,-12.53054208216959,SITTING
-14.689137403343977,-4.467166179767491,SITTING
-15.497364738926585,0.4844979690462936,SITTING
-4.109828722151163,-11.774816480474229,SITTING
-2.444599798991941,-15.632564312640934,SITTING
-6.870554904412235,-12.799864086224565,SITTING
-13.61519214152699,-4.783294324407439,SITTING
-15.445676768982928,-0.5259160291702066,SITTING
-16.005679773761003,3.6285983471743077,SITTING
-16.21594137400417,8.93976832074086,SITTING
-16.1564776649816,8.0052171104843,SITTING
-13.07776688420143,-4.573117737065379,SITTING
-13.855941688256806,-1.7839509276320333,SITTING
-14.938643147798146,1.3187129574410368,SITTING
-15.421191345646058,4.658627240805328,SITTING
-15.523787717111045,4.742320909413317,SITTING
-15.985750469280195,3.6310494024174527,SITTING
-16.028198307799983,4.2496468220622665,SITTING
-16.042125928026397,5.657171216757279,SITTING
-16.015582025360565,6.171445999841163,SITTING
-15.815624507571064,5.918074924813789,SITTING
-15.838102116153475,5.629426576764279,SITTING
-15.896867580007061,4.787175898110549,SITTING
-16.179209927937038,6.085383700637825,SITTING
-10.252672424854497,-7.597759873991656,LAYING
-15.234924339996848,0.4770002737514054,LAYING
-16.03925712872779,4.536225254150119,LAYING
-16.830333428088032,6.772619739920861,LAYING
-16.862620502841775,7.500683839774085,LAYING
-16.551645834831923,8.778176917121874,LAYING
-16.396604947102524,7.661156555220804,LAYING
-16.806115391369545,7.036188450968403,LAYING
-16.51230051843763,6.786843619739539,LAYING
-16.673201281730492,9.22477152442288,LAYING
-16.569772560110323,8.77828510517559,LAYING
-17.00451451172124,8.86228764586884,LAYING
-17.037056523103438,8.652904278637429,LAYING
-7.67402092098983,-8.234232887918104,LAYING
-13.058253273000323,-5.0526476079871525,LAYING
1.3023222297239136,-14.83321592654149,LAYING
2.196544404248134,-18.725456707642106,LAYING
-7.858795289460403,-11.738577194342048,LAYING
-1.9177771016064502,-7.466709761708852,LAYING
12.255331090517304,-8.613437124402092,LAYING
12.775050238783614,-8.822865993894238,LAYING
-4.19366818515732,-13.73405568271559,LAYING
-12.286013132419335,-5.443336925283692,LAYING
-15.078861113654648,0.8807350968457033,LAYING
-16.30700447660597,3.3643241567174726,LAYING
-16.5111897976249,6.0971134821986475,LAYING
-16.63951442950416,7.907009918415715,LAYING
15.972779410284039,-1.7857327771516878,WALKING
19.009370245403574,0.8699386343618911,WALKING
17.246078661923928,1.7247116534660343,WALKING
22.296240036124992,3.2502034293658126,WALKING
21.93212041557213,1.940560107139696,WALKING
19.935420777783797,2.5337122880553116,WALKING
18.66016611252982,0.5852844393883527,WALKING
20.08656179520198,4.182408969060705,WALKING
15.358844517519039,-3.155847458665077,WALKING
18.31761180608909,1.2801954277126377,WALKING
16.718049433441653,3.0990608083304636,WALKING
19.01480374557758,3.502837302449038,WALKING
20.36696619505211,1.3150412491266503,WALKING
23.157081765157223,3.146747480657859,WALKING
22.144718088242044,3.8688472574688006,WALKING
20.98345811775151,4.742182899985129,WALKING
21.01680214285195,3.212074274561363,WALKING
22.464866401831788,3.899265318235415,WALKING
22.065322687761395,3.148785143530907,WALKING
20.540099577035654,4.416316721113065,WALKING
20.9415953422095,3.027883564219156,WALKING
20.889578689953275,3.3793091056851505,WALKING
20.188572327308407,3.6934206102955582,WALKING
25.844173941137086,9.810322897348819,WALKING
24.305636088357158,7.34354597971367,WALKING
23.09293001064834,2.674135993517761,WALKING
21.409390386915522,3.058928068356908,WALKING
17.253758088423464,1.288621901974893,WALKING
21.011167369084802,3.614056528315868,WALKING
21.839957749173077,4.807805251562379,WALKING
21.16919538884007,4.102691229512246,WALKING
20.601995453856354,3.7124634921718194,WALKING
19.877267830706767,2.555861570499152,WALKING
24.873227261908443,6.243142358903066,WALKING
18.778444427782766,4.028339724013891,WALKING
18.727872358667792,3.3556701309584414,WALKING
18.254141863676296,1.1904825248260555,WALKING
20.118730574651522,3.1947486760118435,WALKING
19.509006644216296,2.377169762469576,WALKING
17.900731663722606,2.239708557951664,WALKING
15.275978956784794,2.7426046385967617,WALKING
14.48388186180329,-0.11438308333891009,WALKING
15.444817986047482,-0.7650335597922024,WALKING
16.50484529104475,2.393329045097966,WALKING
18.677531225101585,2.1402312799079577,WALKING
18.474603429083555,-0.02068411254427369,WALKING
16.910806688716285,0.19877455907010214,WALKING
13.972690060111393,1.6310829182722106,WALKING_DOWNSTAIRS
17.688131879528147,5.50609430687352,WALKING_DOWNSTAIRS
22.29090696263062,6.6252628164993705,WALKING_DOWNSTAIRS
21.455427184598,4.211532176134229,WALKING_DOWNSTAIRS
21.46577243733347,3.2326134983814843,WALKING_DOWNSTAIRS
26.523066222367703,4.172470062606868,WALKING_DOWNSTAIRS
25.90750899070379,6.40493360288615,WALKING_DOWNSTAIRS
18.777873647610836,6.641228434097963,WALKING_DOWNSTAIRS
17.924156372099155,8.283216306258314,WALKING_DOWNSTAIRS
34.86314095710653,14.66502518749145,WALKING_DOWNSTAIRS
27.714279448179354,7.115274647687417,WALKING_DOWNSTAIRS
33.2639214210427,10.025050022252932,WALKING_DOWNSTAIRS
31.89528789327428,6.739478519268019,WALKING_DOWNSTAIRS
29.232896804541276,5.042189920052452,WALKING_DOWNSTAIRS
25.452890818454485,3.209247565189516,WALKING_DOWNSTAIRS
27.88482847957822,8.652826205574204,WALKING_DOWNSTAIRS
23.091439013655624,4.10873514307484,WALKING_DOWNSTAIRS
19.726064142704395,0.7173710684426289,WALKING_DOWNSTAIRS
20.891043161094142,2.3647964781158346,WALKING_DOWNSTAIRS
26.931878863305357,5.723018422476387,WALKING_DOWNSTAIRS
28.57661232110887,4.705824589710972,WALKING_DOWNSTAIRS
22.814641430652188,1.8816124969840533,WALKING_DOWNSTAIRS
18.390420881217473,-0.8761067513557759,WALKING_DOWNSTAIRS
18.038151654021245,3.6236548715576955,WALKING_DOWNSTAIRS
17.478646214061726,2.977430132754237,WALKING_DOWNSTAIRS
9.873458166613373,-9.11234171212791,WALKING_UPSTAIRS
8.349136502579983,-8.27119720513418,WALKING_UPSTAIRS
10.109129919656176,-10.192506418679937,WALKING_UPSTAIRS
13.800420017680711,-10.439430793995914,WALKING_UPSTAIRS
12.574032807955046,-10.115543446532966,WALKING_UPSTAIRS
